# Time-averaged data for fix MSD_output
# TimeStep c_MSD[4]
451000 951.356
452000 955.861
453000 959.229
454000 961.663
455000 971.616
456000 972.54
457000 975.957
458000 975.405
459000 975.535
460000 975.91
461000 973.76
462000 981.867
463000 986.077
464000 984.73
465000 986.28
466000 990.832
467000 997.314
468000 1009.7
469000 1016.54
470000 1025
471000 1022.14
472000 1030.08
473000 1029.16
474000 1030.21
475000 1031
476000 1031.57
477000 1030.08
478000 1035.13
479000 1034.76
480000 1035.92
481000 1035.94
482000 1039.33
483000 1048.78
484000 1054.25
485000 1061.51
486000 1067.83
487000 1066.24
488000 1068.26
489000 1069.66
490000 1066.92
491000 1063.49
492000 1061.98
493000 1069.93
494000 1068.34
495000 1064.87
496000 1066.82
497000 1073.92
498000 1077.74
499000 1086.22
500000 1094.39
501000 1097.38
502000 1101.92
503000 1107.37
504000 1111.33
505000 1108.74
506000 1116.24
507000 1118.23
508000 1121.46
509000 1124.45
510000 1125.49
511000 1123.91
512000 1125.63
513000 1128.52
514000 1128.99
515000 1131.3
516000 1126.82
517000 1126.06
518000 1127.68
519000 1118.96
520000 1118.21
521000 1127.74
522000 1127.63
523000 1129.55
524000 1143.26
525000 1145.91
526000 1134.82
527000 1130.1
528000 1137.88
529000 1147.14
530000 1155.06
531000 1155.89
532000 1159.33
533000 1160.32
534000 1168.8
535000 1182.05
536000 1187.94
537000 1191.82
538000 1200.79
539000 1201.8
540000 1201.66
541000 1203.64
542000 1200.65
543000 1189.85
544000 1188.74
545000 1188.77
546000 1185.6
547000 1183.19
548000 1181.46
549000 1175.47
550000 1181.93
551000 1174.93
552000 1168.08
553000 1168.49
554000 1174.66
555000 1180.49
556000 1186.31
557000 1184.58
558000 1184.15
559000 1180.74
560000 1182.96
561000 1182.68
562000 1177.28
563000 1178.22
564000 1189.5
565000 1191.8
566000 1201.05
567000 1202.3
568000 1209.07
569000 1213.36
570000 1212.87
571000 1209.61
572000 1215.96
573000 1218.42
574000 1220.25
575000 1212.97
576000 1216.03
577000 1214.94
578000 1226.81
579000 1234.65
580000 1236.72
581000 1238.31
582000 1241.7
583000 1252.32
584000 1249.58
585000 1252.33
586000 1253.93
587000 1254.45
588000 1266.83
589000 1272.74
590000 1274.59
591000 1271.27
592000 1272.74
593000 1275.44
594000 1282.71
595000 1288.27
596000 1292.83
597000 1294.06
598000 1299.72
599000 1304.86
600000 1307.1
601000 1306.57
602000 1304.45
603000 1311.23
604000 1312.63
605000 1315.08
606000 1316.88
607000 1312.22
608000 1309.92
609000 1307.47
610000 1311
611000 1308.64
612000 1311.59
613000 1318.5
614000 1324.74
615000 1335.44
616000 1338.73
617000 1334.18
618000 1336.03
619000 1341.71
620000 1342.9
621000 1343.01
622000 1347.41
623000 1345.25
624000 1343.68
625000 1344.78
626000 1343.59
627000 1337.63
628000 1322.19
629000 1315.56
630000 1316.7
631000 1312.05
632000 1318.35
633000 1323.5
634000 1316.9
635000 1322.09
636000 1317.15
637000 1321.97
638000 1329.99
639000 1330.21
640000 1332.96
641000 1330.8
642000 1326.84
643000 1329.69
644000 1336.46
645000 1341.48
646000 1337.08
647000 1331.48
648000 1329.92
649000 1335.54
650000 1342.69
651000 1348.44
652000 1348.2
653000 1340.01
654000 1343.93
655000 1356.15
656000 1350.55
657000 1349.81
658000 1352.83
659000 1359.57
660000 1360.24
661000 1357.16
662000 1353.67
663000 1362.81
664000 1361.64
665000 1360.32
666000 1365.01
667000 1376.44
668000 1380.27
669000 1379.43
670000 1377.06
671000 1377.68
672000 1382.58
673000 1381.69
674000 1390.17
675000 1396.28
676000 1408.82
677000 1405.67
678000 1401.39
679000 1403.03
680000 1409.12
681000 1410.88
682000 1403.39
683000 1407.91
684000 1405.97
685000 1403.51
686000 1402.71
687000 1410.74
688000 1405.96
689000 1403.46
690000 1402.62
691000 1400.64
692000 1411.77
693000 1424.43
694000 1428.43
695000 1432.66
696000 1442.04
697000 1443
698000 1449.83
699000 1451.39
700000 1463.29
701000 1468.69
702000 1466.43
703000 1469.99
704000 1469.94
705000 1473.99
706000 1478.27
707000 1479.43
708000 1482.28
709000 1493.2
710000 1502.45
711000 1508.81
712000 1508.47
713000 1511.91
714000 1512.99
715000 1520.31
716000 1525.37
717000 1526.76
718000 1529.8
719000 1540.12
720000 1537.89
721000 1540.43
722000 1538.89
723000 1533.87
724000 1532.15
725000 1537.24
726000 1530.41
727000 1527.18
728000 1523.98
729000 1529.14
730000 1536.79
731000 1541.54
732000 1545.11
733000 1542.43
734000 1545.06
735000 1547.95
736000 1558.74
737000 1565.43
738000 1566.91
739000 1569.91
740000 1575.77
741000 1571.59
742000 1558.67
743000 1551.8
744000 1550.7
745000 1552.4
746000 1550.47
747000 1545.02
748000 1537.15
749000 1533.13
750000 1541.37
751000 1551.26
752000 1554.53
753000 1556.25
754000 1548.45
755000 1561.63
756000 1554.19
757000 1550.82
758000 1550.75
759000 1546.9
760000 1547.92
761000 1550.52
762000 1555.94
763000 1560.98
764000 1569.15
765000 1570.2
766000 1575.49
767000 1581.84
768000 1578.96
769000 1579.99
770000 1586.97
771000 1595.6
772000 1596.14
773000 1592.38
774000 1596.3
775000 1608.47
776000 1609.84
777000 1606.74
778000 1598.54
779000 1595.87
780000 1599.21
781000 1592.17
782000 1588.87
783000 1595.84
784000 1592.38
785000 1595.69
786000 1596.28
787000 1593.87
788000 1595.23
789000 1598.25
790000 1608.82
791000 1610.39
792000 1610.22
793000 1617.04
794000 1621.62
795000 1630.86
796000 1638.96
797000 1639.75
798000 1634.41
799000 1634.79
800000 1634.73
801000 1629.26
802000 1635.75
803000 1638.02
804000 1635.24
805000 1634.41
806000 1634.09
807000 1629.49
808000 1623.46
809000 1624.57
810000 1625.37
811000 1621.85
812000 1632.63
813000 1647.76
814000 1649.54
815000 1648.6
816000 1646.29
817000 1649.96
818000 1654.8
819000 1658.62
820000 1657.68
821000 1663.73
822000 1659.46
823000 1658.77
824000 1665.79
825000 1652.27
826000 1652.14
827000 1652.85
828000 1660.81
829000 1671.88
830000 1669.8
831000 1678.36
832000 1678.56
833000 1684.03
834000 1689.65
835000 1692.38
836000 1692.67
837000 1695.41
838000 1688.92
839000 1690.05
840000 1691.61
841000 1689.32
842000 1692.27
843000 1681.37
844000 1690.11
845000 1696.16
846000 1696.42
847000 1697.98
848000 1699.79
849000 1707.99
850000 1713.37
851000 1720.67
852000 1740.32
853000 1749.52
854000 1754.75
855000 1752.06
856000 1750.55
857000 1751.33
858000 1755.71
859000 1755.77
860000 1765.33
861000 1777.27
862000 1777.24
863000 1785.03
864000 1792.55
865000 1796.58
866000 1798.52
867000 1797.81
868000 1801.53
869000 1806.92
870000 1810.51
871000 1818.37
872000 1813.82
873000 1812.74
874000 1806.19
875000 1806.75
876000 1802.06
877000 1799.06
878000 1799.6
879000 1796.17
880000 1789.24
881000 1783.4
882000 1794.02
883000 1804.5
884000 1807.52
885000 1796.86
886000 1792.91
887000 1793.58
888000 1805.26
889000 1822.68
890000 1832.75
891000 1821.28
892000 1815
893000 1809.6
894000 1813.98
895000 1815.16
896000 1813.32
897000 1805.8
898000 1807.63
899000 1811.23
900000 1811.72
901000 1814.8
902000 1820.51
903000 1819.29
904000 1813.01
905000 1821.47
906000 1830.95
907000 1832.69
908000 1833.56
909000 1844.79
910000 1855.86
911000 1864.14
912000 1859.82
913000 1862.18
914000 1862.59
915000 1859.26
916000 1863.59
917000 1874.5
918000 1878.73
919000 1879.37
920000 1886.55
921000 1893.95
922000 1890
923000 1909.05
924000 1907.48
925000 1896.97
926000 1893.97
927000 1891.36
928000 1895.97
929000 1890.6
930000 1886.55
931000 1895.34
932000 1889.54
933000 1892.89
934000 1900.43
935000 1903.03
936000 1905.54
937000 1908.71
938000 1925.05
939000 1917.66
940000 1922.6
941000 1931.71
942000 1938.81
943000 1945.13
944000 1938.14
945000 1934.32
946000 1937.96
947000 1948.1
948000 1947
949000 1953.52
950000 1962.9
951000 1968.09
952000 1973.68
953000 1972.33
954000 1975.56
955000 1985.72
956000 1985.75
957000 1991.76
958000 2000.6
959000 2003.96
960000 2010.6
961000 2011.85
962000 2015.98
963000 2017.07
964000 2017.7
965000 2018.64
966000 2020.24
967000 2025.23
968000 2020.63
969000 2024.7
970000 2030.72
971000 2031.5
972000 2027.87
973000 2017.05
974000 2011.85
975000 2015.67
976000 2020.87
977000 2033.83
978000 2041.38
979000 2054.44
980000 2066.8
981000 2077.4
982000 2084.72
983000 2096.77
984000 2102.26
985000 2108.65
986000 2100.77
987000 2088.19
988000 2090.14
989000 2087.1
990000 2085.02
991000 2072.75
992000 2076.64
993000 2076.65
994000 2078.26
995000 2076.55
996000 2072.05
997000 2072.06
998000 2078.03
999000 2081.9
1000000 2073.4
1001000 2076.9
1002000 2088.43
1003000 2099.66
1004000 2102.3
1005000 2106.1
1006000 2114.79
1007000 2107.08
1008000 2109.55
1009000 2114.48
1010000 2114.17
1011000 2121.31
1012000 2124.47
1013000 2127.87
1014000 2121.37
1015000 2125.89
1016000 2128.7
1017000 2133.6
1018000 2136.74
1019000 2136.92
1020000 2137.27
1021000 2141.26
1022000 2139.81
1023000 2142.73
1024000 2145.35
1025000 2153.76
1026000 2151.7
1027000 2143.84
1028000 2152.65
1029000 2162.51
1030000 2163.04
1031000 2172.65
1032000 2183.35
1033000 2187.97
1034000 2178.93
1035000 2171.67
1036000 2178.21
1037000 2178.64
1038000 2184.49
1039000 2179.2
1040000 2182.12
1041000 2184.82
1042000 2180.96
1043000 2183.29
1044000 2189.23
1045000 2200.08
1046000 2205.81
1047000 2204.76
1048000 2207.36
1049000 2202.7
1050000 2204.52
1051000 2212.18
1052000 2204.64
1053000 2199.12
1054000 2194.55
1055000 2203.04
1056000 2203.32
1057000 2201.24
1058000 2208.42
1059000 2216.05
1060000 2214.11
1061000 2226.88
1062000 2234
1063000 2225.37
1064000 2214.44
1065000 2205.32
1066000 2221.59
1067000 2230.08
1068000 2250.73
1069000 2261.62
1070000 2270.38
1071000 2267.71
1072000 2265.65
1073000 2262.67
1074000 2272.15
1075000 2283.8
1076000 2291.2
1077000 2293.64
1078000 2299.59
1079000 2306.17
1080000 2306.61
1081000 2303.38
1082000 2306.38
1083000 2313.31
1084000 2320.17
1085000 2321.77
1086000 2330.25
1087000 2345.42
1088000 2346.39
1089000 2343.79
1090000 2341.36
1091000 2348.83
1092000 2347.42
1093000 2356.08
1094000 2350.31
1095000 2344.82
1096000 2338.4
1097000 2342.81
1098000 2345.31
1099000 2357.79
1100000 2370.99
1101000 2375.89
1102000 2386.96
1103000 2393.2
1104000 2395.32
1105000 2407.41
1106000 2409.04
1107000 2417.55
1108000 2415.42
1109000 2413.29
1110000 2417.06
1111000 2415.17
1112000 2419.73
1113000 2416.98
1114000 2411.95
1115000 2410.72
1116000 2416.11
1117000 2423.36
1118000 2434.95
1119000 2444.19
1120000 2441.15
1121000 2440.07
1122000 2434.51
1123000 2448.67
1124000 2464.48
1125000 2464.25
1126000 2473.53
1127000 2475.94
1128000 2472.98
1129000 2475.1
1130000 2469.84
1131000 2465.89
1132000 2472.4
1133000 2479.01
1134000 2487.79
1135000 2482.21
1136000 2479.42
1137000 2480.72
1138000 2479.6
1139000 2487.34
1140000 2489.41
1141000 2503.72
1142000 2516.74
1143000 2510.29
1144000 2494.99
1145000 2490.71
1146000 2487.15
1147000 2485.4
1148000 2494.59
1149000 2503.66
1150000 2505.41
1151000 2511.81
1152000 2517.01
1153000 2519.99
1154000 2529.27
1155000 2526.68
1156000 2527.5
1157000 2529.99
1158000 2536.08
1159000 2531.39
1160000 2527.38
1161000 2531.07
1162000 2537.43
1163000 2538.75
1164000 2542.71
1165000 2545.61
1166000 2547.75
1167000 2541
1168000 2541.78
1169000 2564.32
1170000 2568.21
1171000 2571.94
1172000 2589
1173000 2595.72
1174000 2599.45
1175000 2603.54
1176000 2603.48
1177000 2607.25
1178000 2602.08
1179000 2605.48
1180000 2605.86
1181000 2600.06
1182000 2605.18
1183000 2613.78
1184000 2613.49
1185000 2623.29
1186000 2619.96
1187000 2619.35
1188000 2637.9
1189000 2639.13
1190000 2643.64
1191000 2647.01
1192000 2651.38
1193000 2654.85
1194000 2660.29
1195000 2665.13
1196000 2664.19
1197000 2679.58
1198000 2682
1199000 2683.54
1200000 2689.48
1201000 2690.17
1202000 2691.53
1203000 2676.82
1204000 2682.84
1205000 2687.35
1206000 2693.21
1207000 2696.41
1208000 2707.78
1209000 2720.8
1210000 2729.09
1211000 2734.03
1212000 2743
1213000 2739.58
1214000 2745.97
1215000 2741.62
1216000 2736.43
1217000 2728.62
1218000 2736.36
1219000 2753.87
1220000 2753.46
1221000 2756.27
1222000 2764.56
1223000 2774.79
1224000 2779.32
1225000 2784.84
1226000 2787.09
1227000 2793.48
1228000 2800.14
1229000 2797.34
1230000 2793.75
1231000 2798.02
1232000 2802.72
1233000 2809.06
1234000 2806.61
1235000 2803.42
1236000 2805.95
1237000 2807.35
1238000 2816.01
1239000 2816.6
1240000 2826.86
1241000 2832.62
1242000 2825.44
1243000 2823.94
1244000 2831.39
1245000 2834.49
1246000 2834.74
1247000 2837.34
1248000 2843.9
1249000 2856.48
1250000 2874.11
1251000 2882.56
1252000 2887.46
1253000 2873.04
1254000 2865.95
1255000 2869.81
1256000 2873.78
1257000 2867.28
1258000 2860.6
1259000 2859.25
1260000 2864.66
1261000 2870.34
1262000 2861.48
1263000 2871.54
1264000 2882.61
1265000 2880.71
1266000 2887.33
1267000 2900.01
1268000 2899.55
1269000 2897.86
1270000 2897.63
1271000 2888.28
1272000 2901.37
1273000 2900.08
1274000 2899.91
1275000 2894.97
1276000 2892.17
1277000 2886.09
1278000 2878.48
1279000 2872.66
1280000 2875.38
1281000 2871.84
1282000 2866.1
1283000 2869.88
1284000 2865.11
1285000 2860.37
1286000 2857.76
1287000 2857.2
1288000 2859.93
1289000 2850.91
1290000 2849.68
1291000 2840.7
1292000 2842.72
1293000 2824.75
1294000 2817.82
1295000 2813.54
1296000 2818.2
1297000 2814.93
1298000 2809.7
1299000 2796.81
1300000 2797.31
1301000 2793.48
1302000 2803.83
1303000 2802.32
1304000 2805.2
1305000 2803.48
1306000 2800.62
1307000 2799.66
1308000 2801.3
1309000 2798
1310000 2797.16
1311000 2804.5
1312000 2806.81
1313000 2801.29
1314000 2793.27
1315000 2786.4
1316000 2774.95
1317000 2773.15
1318000 2772.98
1319000 2784.77
1320000 2771.28
1321000 2766.45
1322000 2772.85
1323000 2795.64
1324000 2813.19
1325000 2824.44
1326000 2823.43
1327000 2825.5
1328000 2840.73
1329000 2841.73
1330000 2835.58
1331000 2826.49
1332000 2843.49
1333000 2846.79
1334000 2845.27
1335000 2847.44
1336000 2844.31
1337000 2833.39
1338000 2823.81
1339000 2821.27
1340000 2828.76
1341000 2836.76
1342000 2830.33
1343000 2830.23
1344000 2842.97
1345000 2850.66
1346000 2844.33
1347000 2839.58
1348000 2832.49
1349000 2834.48
1350000 2836.62
1351000 2824.2
1352000 2829.55
1353000 2828.99
1354000 2824.59
1355000 2825.27
1356000 2830.74
1357000 2838.75
1358000 2836.11
1359000 2839.96
1360000 2855.19
1361000 2859.68
1362000 2854.72
1363000 2856.96
1364000 2852.86
1365000 2851.97
1366000 2847.24
1367000 2840.32
1368000 2844.46
1369000 2857.67
1370000 2875.73
1371000 2869.26
1372000 2872.28
1373000 2866.71
1374000 2861.5
1375000 2866.92
1376000 2866.75
1377000 2868.26
1378000 2872.1
1379000 2883.69
