,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX
1,0.62,0.97846494140625,1159.1451242491603,-4887.147519999511,0.9574122409343719,0.9167093116814338,6.064668129015777e-05,0.4787773418063015,4676.112020816423,0.00011858501918386502,0.00022671700189723845,0.40491032941174426,3.890468584897426e-11
38,0.63,0.98051142578125,1068.6062745638192,-4983.194664000498,0.9614190390110016,0.9243894646477971,5.711601967068965e-05,0.46009983066438903,4581.5114402125855,0.00011190936435363647,0.00021482748795529228,0.40772519814718633,3.045925771155535e-11
26,0.64,0.98258359375,919.6086084283888,-5080.148992000088,0.9654836993217468,0.9322096128558213,5.15066181074282e-05,0.4318057407200314,4384.888368134187,0.00010115586940722521,0.00019509453635641906,0.4121292872312545,3.402758670716154e-11
3,0.65,0.9841017578125,927.9672549068928,-5173.067120000379,0.968468769645691,0.9379801102952567,5.029963543420734e-05,0.4334755437796034,4481.408921185882,9.892540009171024e-05,0.00019133297396438593,0.4144438157357231,3.102769386187886e-11
0,0.66,0.98560517578125,849.8170885071158,-5266.4678879999565,0.9714283296108246,0.9437147759199168,4.640029217607126e-05,0.4118444288687464,4334.367758439794,9.13935094200834e-05,0.00017729661965160457,0.4094363646938173,3.7655656511054156e-11
7,0.67,0.98691337890625,802.5488955751061,-5358.514744000307,0.9740077697277069,0.9487290844639527,4.450594778630994e-05,0.4030098438843095,4316.794473433255,8.779263097812327e-05,0.0001708164176740308,0.4158854851518759,2.899555448432219e-11
9,0.68,0.98807294921875,723.1692145727575,-5449.493343999803,0.9762965164661408,0.9531875141082826,4.0735547315904134e-05,0.37816527882589623,4119.283464243834,8.045733580612647e-05,0.00015694120944440777,0.4062587636371797,3.617315677045601e-11
39,0.69,0.9892025390625,711.6124004162848,-5540.566968000345,0.9785294389724731,0.9575502621642102,3.957906988834874e-05,0.37877956566680543,4194.440423014501,7.825890447053343e-05,0.0001529878958599451,0.41251106909664526,3.5604822582941814e-11
5,0.7,0.99020146484375,624.1853729225695,-5630.975279999783,0.9805053668498993,0.9614159533541417,3.565366391844146e-05,0.35220074942895274,3963.8982108936316,7.057402076335416e-05,0.00013826422805742397,0.40506004048577277,3.8289048725517605e-11
46,0.71,0.99102666015625,653.9161890409887,-5719.853720000227,0.982140257692337,0.9646246702836135,3.5690874109035905e-05,0.36058165202456083,4122.743441237701,7.070938450926071e-05,0.00013877127375744194,0.40649550090637654,3.1012095751658524e-11
12,0.72,0.9918357421875,568.4478508904576,-5808.857471999661,0.9837435800552368,0.9677728171656658,3.2876245138709545e-05,0.3365978731044291,3907.899681856208,6.518181324710891e-05,0.000128114019876912,0.4067829435233969,3.500911639065057e-11
11,0.73,0.992511328125,526.0987690240145,-5896.836048000123,0.9850835552215577,0.9704085824235769,3.1100087918854275e-05,0.3250176690587522,3831.0687771028306,6.170914857337555e-05,0.00012148020212791814,0.41098934364061357,3.1955875628944235e-11
49,0.74,0.9932255859375,498.1667878329754,-5985.277471999486,0.9865013907432556,0.9732020502492047,2.9426536574434582e-05,0.31602463727266084,3780.749048044683,5.842898514616837e-05,0.00011518228573978541,0.409842093821843,2.6041669034150767e-11
16,0.75,0.99378603515625,466.54274556040764,-6072.4038,0.9876145918369293,0.975398007155853,2.775905563223874e-05,0.3038146855813064,3687.4880976402656,5.51489395154019e-05,0.00010883803482983626,0.4037193164947589,0.0
