#! FIELDS es.morethan file.free der_es.morethan
#! SET min_es.morethan 633.911
#! SET max_es.morethan 970.87
#! SET nbins_es.morethan  319
#! SET periodic_es.morethan false
  702.786267296 1888.666854415   -9.153051531
  703.845886792 1881.457490850   -4.624900108
  704.905506289 1878.264077253   -2.060051667
  705.965125786 1875.559678054   -3.712288590
  707.024745283 1869.311099216   -8.361565283
  708.084364780 1858.080344345  -12.639088584
  709.143984277 1843.690574485  -14.028029791
  710.203603774 1829.235386875  -13.014559067
  711.263223270 1816.269394778  -11.676578991
  712.322842767 1804.317178575  -10.989968179
  713.382462264 1792.935760557  -10.443383913
  714.442081761 1782.639183977   -8.804153651
  715.501701258 1774.737972621   -6.101473371
  716.561320755 1769.660579850   -3.778128184
  717.620940252 1766.120699129   -3.271461397
  718.680559748 1762.108826878   -4.517729554
  719.740179245 1756.461649973   -6.077286744
  720.799798742 1749.757455598   -6.469862262
  721.859418239 1743.361008757   -5.674658397
  722.919037736 1737.798659952   -4.989341408
  723.978657233 1732.284694371   -5.689465176
  725.038276730 1725.442642667   -7.265089061
  726.097896226 1717.182295515   -8.162176036
  727.157515723 1708.815093152   -7.465171904
  728.217135220 1701.646974670   -6.165486056
  729.276754717 1695.271733560   -6.252222486
  730.336374214 1687.573706873   -8.813039867
  731.395993711 1676.375633250  -12.339454442
  732.455613208 1662.083553945  -14.172282000
  733.515232704 1647.828791923  -12.071910393
  734.574852201 1637.790072093   -6.548224231
  735.634471698 1634.175840351   -0.547078039
  736.694091195 1635.584696616    2.441046868
  737.753710692 1637.848208567    1.130353397
  738.813330189 1637.078110371   -2.977883902
  739.872949686 1631.591981792   -7.332548786
  740.932569182 1621.850417310  -10.994287890
  741.992188679 1608.416296179  -14.455944422
  743.051808176 1591.436154500  -17.515858209
  744.111427673 1572.100269647  -18.638026598
  745.171047170 1553.422975866  -16.021865708
  746.230666667 1539.189073715  -10.716023892
  747.290286164 1530.481356972   -6.249728917
  748.349905660 1524.637402405   -5.678569446
  749.409525157 1517.284799867   -8.662937070
  750.469144654 1506.282847477  -11.812188491
  751.528764151 1493.397768868  -11.864577996
  752.588383648 1482.430708118   -8.594066037
  753.648003145 1475.602867954   -4.658387442
  754.707622642 1471.696234154   -3.364439254
  755.767242138 1467.134406230   -5.867330163
  756.826861635 1458.686991275  -10.217583737
  757.886481132 1445.937473163  -13.565698283
  758.946100629 1430.899740302  -14.569195811
  760.005720126 1415.736368623  -13.971495779
  761.065339623 1401.396802834  -13.144913437
  762.124959119 1387.851210076  -12.633165221
  763.184578616 1374.968293942  -11.748228497
  764.244198113 1363.182991758  -10.497943147
  765.303817610 1352.644031502   -9.625319351
  766.363437107 1342.630778250   -9.594544823
  767.423056604 1332.345684253   -9.849667582
  768.482676101 1321.922465900   -9.699281617
  769.542295597 1312.078519803   -9.012760525
  770.601915094 1302.767917846   -8.891909667
  771.661534591 1292.788428628  -10.407803481
  772.721154088 1280.476797700  -12.918567024
  773.780773585 1265.890734278  -14.411350918
  774.840393082 1251.100933326  -13.077354216
  775.900012579 1239.080570313   -9.385722428
  776.959632075 1231.297567998   -5.678121647
  778.019251572 1226.405763523   -4.173849992
  779.078871069 1221.596281243   -5.334925886
  780.138490566 1214.714088439   -7.788845525
  781.198110063 1205.375416520   -9.752787501
  782.257729560 1194.706931111  -10.421643797
  783.317349057 1183.835645777  -10.135742243
  784.376968553 1173.298724284   -9.836028613
  785.436588050 1162.914694012   -9.922074037
  786.496207547 1152.304993586  -10.248076610
  787.555827044 1141.242442534  -10.856485624
  788.615446541 1129.340345989  -11.816347252
  789.675066038 1116.225932277  -13.000666499
  790.734685535 1102.020845036  -13.843763134
  791.794305031 1087.278476883  -13.919138277
  792.853924528 1072.758945120  -13.667449166
  793.913544025 1058.489984051  -13.349078763
  794.973163522 1044.632282595  -12.993916907
  796.032783019 1031.583904387  -11.542296006
  797.092402516 1020.697051350   -8.940130205
  798.152022013 1012.770765827   -6.254237844
  799.211641509 1006.993015433   -5.130762656
  800.271261006 1001.159720072   -6.498253076
  801.330880503  992.890001046   -9.321583293
  802.390500000  981.625140347  -11.843170991
  803.450119497  968.577145932  -12.606262484
  804.509738994  955.690389275  -11.650547588
  805.569358491  944.202688577  -10.221530102
  806.628977987  933.871002289   -9.554778500
  807.688597484  923.769287586   -9.709457079
  808.748216981  913.499540963   -9.757321441
  809.807836478  903.526324578   -9.115378401
  810.867455975  894.327305839   -8.510520316
  811.927075472  885.233773977   -9.097926049
  812.986694969  874.696795623  -10.998453043
  814.046314465  861.962478056  -13.048940548
  815.105933962  847.795336855  -13.445109616
  816.165553459  834.304158246  -11.985127076
  817.225172956  822.815967011   -9.883356605
  818.284792453  813.121764947   -8.842470428
  819.344411950  803.676883118   -9.451096087
  820.404031447  792.892701958  -11.055721260
  821.463650943  780.335193040  -12.802356693
  822.523270440  766.201062771  -14.082799957
  823.582889937  750.918108153  -14.705197935
  824.642509434  735.231575789  -15.000560838
  825.702128931  719.419264000  -14.924151252
  826.761748428  703.882090792  -14.559265231
  827.821367925  688.967773038  -13.707784782
  828.880987421  675.253531009  -12.294712669
  829.940606918  663.228203003  -10.521066166
  831.000226415  652.925166776   -9.302944734
  832.059845912  643.244221705   -9.361517217
  833.119465409  632.792950643  -10.635294187
  834.179084906  620.817118004  -12.056964008
  835.238704403  607.777716737  -12.541112703
  836.298323899  594.715575873  -12.202893780
  837.357943396  581.997088184  -12.045113257
  838.417562893  569.206744323  -12.390671240
  839.477182390  556.124791843  -12.239066345
  840.536801887  543.804915245  -10.918379369
  841.596421384  533.415479989   -8.911474310
  842.656040881  524.851512408   -7.739374988
  843.715660377  516.549633134   -8.396043396
  844.775279874  506.818371401  -10.275564380
  845.834899371  495.119411898  -11.779633992
  846.894518868  482.382775035  -12.267530087
  847.954138365  469.523303149  -12.252838828
  849.013757862  456.560578572  -12.573256448
  850.073377358  442.829205839  -13.535170255
  851.132996855  427.870748767  -14.940309567
  852.192616352  411.523910649  -15.978277989
  853.252235849  394.530797209  -16.156469204
  854.311855346  377.986333733  -14.999071949
  855.371474843  363.282830936  -12.687306851
  856.431094340  351.362390784  -10.146251333
  857.490713836  341.736674669   -8.370033551
  858.550333333  333.231828708   -8.200253768
  859.609952830  324.256301310   -9.097399911
  860.669572327  314.081085272  -10.216333833
  861.729191824  302.802541933  -11.286709780
  862.788811321  290.536165874  -12.127379517
  863.848430818  277.532858877  -12.541218616
  864.908050314  264.455253793  -12.218469070
  865.967669811  252.251984355  -10.767985418
  867.027289308  241.970743708   -8.836217294
  868.086908805  233.656808971   -7.188352171
  869.146528302  226.604720871   -6.540690520
  870.206147799  219.696838013   -6.835065916
  871.265767296  212.144638181   -7.652319377
  872.325386792  203.673634477   -8.543082826
  873.385006289  194.374742561   -9.257841590
  874.444625786  184.387748958   -9.843681517
  875.504245283  173.800792284  -10.330870327
  876.563864780  162.706570911  -10.802045726
  877.623484277  151.280441320  -10.876975884
  878.683103774  140.114374850  -10.269312181
  879.742723270  130.053102097   -8.933153708
  880.802342767  121.601544386   -7.190861843
  881.861962264  114.779829357   -6.098268779
  882.921581761  108.509786423   -6.126495904
  883.981201258  101.631845627   -7.226038566
  885.040820755   93.418331800   -8.493089463
  886.100440252   84.131446263   -9.018869772
  887.160059748   74.891343724   -8.585323870
  888.219679245   66.495346080   -7.523441942
  889.279298742   59.131322674   -6.715042003
  890.338918239   52.415516788   -6.163516150
  891.398537736   46.298960295   -5.538493206
  892.458157233   41.042056603   -4.515246875
  893.517776730   36.951035909   -3.560327435
  894.577396226   33.533021801   -3.251633752
  895.637015723   29.979979553   -3.751962667
  896.696635220   25.894874449   -4.168790680
  897.756254717   21.816121319   -3.615305493
  898.815874214   18.674679997   -2.604557796
  899.875493711   16.405387844   -2.102978147
  900.935113208   14.042221768   -2.858230782
  901.994732704   10.426113954   -4.102753402
  903.054352201    5.836056257   -4.488392810
  904.113971698    1.787738660   -3.068594697
  905.173591195    0.000000000   -0.562103039
  906.233210692    0.724518116    1.444764694
  907.292830189    2.621217257    1.543336699
  908.352449686    3.695013656    0.133230781
  909.412069182    3.145957635   -1.254298398
  910.471688679    1.709710868   -1.478496316
  911.531308176    0.769209194   -0.488038051
  912.590927673    0.951062514    0.585230748
  913.650547170    1.999883177    0.981102389
  914.710166667    3.380998564    1.534592262
  915.769786164    5.777674076    2.985410198
  916.829405660   10.256065801    5.170445148
  917.889025157   16.995799312    7.150371709
  918.948644654   25.269733943    8.111514125
  920.008264151   34.067293434    8.149844283
  921.067883648   42.878032346    8.205438845
  922.127503145   51.820183368    8.543664822
  923.187122642   61.194652125    8.794875533
